participant_id,condition,counterbalance_list,phase,trial_index,trial_index_global,pair_id,stimulus_id,mechanism,integrity,provenance_condition,transfer_type,trust_pre,misleading_pre,confidence_pre,trust_post,misleading_post,confidence_post,initial_response_time_ms,intervention_time_ms,locate_time_ms,explain_time_ms,verify_time_ms,compare_time_ms,trial_total_time_ms,detection_correct,false_positive,false_negative,belief_revision
MV-00000002,control,C,main,1,5,TA-02,S004.svg,truncated-axis,misleading,none,,84,no,74,73,no,77,3590,13052,,,,,12852,False,False,True,-11
MV-00000002,control,C,main,2,6,CP-02,S007.svg,cherry-picked-time,accurate,none,,82,no,59,82,no,62,8974,7441,,,,,30349,True,False,False,0
MV-00000002,control,C,main,3,7,AD-02,S015.svg,area-distortion,accurate,none,,70,no,62,73,no,79,12173,16279,,,,,13064,True,False,False,3
MV-00000002,control,C,main,4,8,CP-01,S005.svg,cherry-picked-time,accurate,ai-assisted,,70,unsure,51,70,unsure,51,9755,16067,,,,,38293,False,False,False,0
MV-00000002,control,C,main,5,9,MT-01,S021.svg,misleading-title,accurate,ai-assisted,,76,no,66,81,no,55,13975,8371,,,,,13216,True,False,False,5
MV-00000002,control,C,main,6,10,HU-02,S012.svg,hidden-uncertainty,misleading,none,,84,yes,42,77,yes,52,10711,17378,,,,,38095,True,False,False,-7
MV-00000002,control,C,main,7,11,TA-01,S002.svg,truncated-axis,misleading,ai-assisted,,69,yes,90,62,yes,41,6728,14813,,,,,14328,True,False,False,-7
MV-00000002,control,C,main,8,12,CE-01,S018.svg,color-emphasis,misleading,ai-assisted,,65,yes,44,54,yes,81,7573,12346,,,,,21096,True,False,False,-11
MV-00000002,control,C,main,9,13,CE-02,S020.svg,color-emphasis,misleading,none,,83,no,74,83,no,47,8425,18369,,,,,39798,False,False,True,0
MV-00000002,control,C,main,10,14,HU-01,S010.svg,hidden-uncertainty,misleading,ai-assisted,,56,yes,56,53,yes,78,3626,11119,,,,,19327,True,False,False,-3
MV-00000002,control,C,main,11,15,MT-02,S023.svg,misleading-title,accurate,none,,75,no,72,78,no,76,4894,7114,,,,,16346,True,False,False,3
MV-00000002,control,C,transfer,0,16,T-01,S201.svg,color-emphasis,accurate,,near,57,no,40,,,,11518,,,,,,38329,True,False,False,
MV-00000002,control,C,transfer,1,17,T-04,S204.svg,cherry-picked-time,accurate,,near,89,no,87,,,,13987,,,,,,14456,True,False,False,
MV-00000002,control,C,transfer,2,18,T-05,S205.svg,dual-axis,misleading,,far,63,yes,82,,,,8409,,,,,,28419,True,False,False,
MV-00000002,control,C,transfer,3,19,T-02,S202.svg,misleading-title,misleading,,near,60,unsure,47,,,,14792,,,,,,37492,False,False,True,
MV-00000002,control,C,transfer,4,20,T-06,S206.svg,pie-3d,accurate,,far,74,no,82,,,,9691,,,,,,18688,True,False,False,
MV-00000002,control,C,transfer,5,21,T-03,S203.svg,truncated-axis,misleading,,near,65,unsure,75,,,,5085,,,,,,14286,False,False,True,
MV-00000003,egvv,D,baseline,0,0,B-02,S102.svg,cherry-picked-time,misleading,,,58,yes,80,,,,13145,,,,,,18983,True,False,False,
MV-00000003,egvv,D,baseline,1,1,B-01,S101.svg,truncated-axis,accurate,,,60,unsure,88,,,,6848,,,,,,30046,False,False,False,
MV-00000003,egvv,D,baseline,2,2,B-03,S103.svg,hidden-uncertainty,accurate,,,74,no,52,,,,5414,,,,,,8800,True,False,False,
MV-00000003,egvv,D,baseline,3,3,B-04,S104.svg,area-distortion,misleading,,,42,yes,70,,,,13015,,,,,,35844,True,False,False,
MV-00000003,egvv,D,main,0,4,CE-02,S019.svg,color-emphasis,accurate,ai-assisted,,59,no,80,60,no,95,12431,15409,3572,4024,3636,2999,12835,True,False,False,1
MV-00000003,egvv,D,main,1,5,AD-02,S016.svg,area-distortion,misleading,ai-assisted,,150,unsure,88,42,yes,77,4746,7585,2720,5293,5923,4850,24972,True,False,False,-108
MV-00000003,egvv,D,main,2,6,HU-02,S011.svg,hidden-uncertainty,accurate,ai-assisted,,84,no,55,93,no,58,4988,17130,3903,4734,4175,4289,27511,True,False,False,9
MV-00000003,egvv,D,main,3,7,MT-01,S021.svg,misleading-title,accurate,none,,75,yes,68,83,no,85,13037,11305,5674,2651,5046,5528,23554,True,False,False,8
MV-00000003,egvv,D,main,4,8,CP-02,S008.svg,cherry-picked-time,misleading,ai-assisted,,68,yes,55,45,yes,83,13447,11939,4567,2979,3124,3801,10538,True,False,False,-23
MV-00000003,egvv,D,main,5,9,TA-02,S003.svg,truncated-axis,accurate,ai-assisted,,73,no,61,70,no,58,8238,6471,2947,3568,4842,2625,31147,True,False,False,-3
MV-00000003,egvv,D,main,6,10,CP-01,S005.svg,cherry-picked-time,accurate,none,,68,no,66,77,no,76,8421,5020,2847,5411,3720,3595,37649,True,False,False,9
MV-00000003,egvv,D,main,7,11,MT-02,S024.svg,misleading-title,misleading,ai-assisted,,77,no,41,50,yes,80,12432,4096,5861,3440,3223,5086,20779,True,False,False,-27
MV-00000003,egvv,D,main,8,12,TA-01,S002.svg,truncated-axis,misleading,none,,66,yes,87,26,yes,88,11947,18709,2903,3999,2898,3117,22281,True,False,False,-40
MV-00000003,egvv,D,main,9,13,CE-01,S018.svg,color-emphasis,misleading,none,,71,yes,61,35,yes,75,13958,15864,2676,5442,3914,5766,12182,True,False,False,-36
MV-00000003,egvv,D,main,10,14,AD-01,S013.svg,area-distortion,accurate,none,,89,no,65,84,no,55,12697,14530,3755,2555,5550,3891,13954,True,False,False,-5
MV-00000003,egvv,D,main,11,15,HU-01,S010.svg,hidden-uncertainty,misleading,none,,43,yes,60,14,yes,70,6467,9529,5117,5603,3552,3139,32641,True,False,False,-29
MV-00000003,egvv,D,transfer,0,16,T-06,S206.svg,pie-3d,accurate,,far,81,no,45,,,,10705,,,,,,8635,True,False,False,
MV-00000003,egvv,D,transfer,1,17,T-01,S201.svg,color-emphasis,accurate,,near,89,no,62,,,,6673,,,,,,29303,True,False,False,
MV-00000003,egvv,D,transfer,2,18,T-03,S203.svg,truncated-axis,misleading,,near,44,unsure,81,,,,3659,,,,,,32714,False,False,True,
MV-00000003,egvv,D,transfer,3,19,T-02,S202.svg,misleading-title,misleading,,near,41,no,52,,,,3333,,,,,,28359,False,False,True,
MV-00000003,egvv,D,transfer,4,20,T-04,S204.svg,cherry-picked-time,accurate,,near,64,no,70,,,,13968,,,,,,11748,True,False,False,
MV-00000003,egvv,D,transfer,5,21,T-05,S205.svg,dual-axis,misleading,,far,76,no,69,,,,14460,,,,,,16396,False,False,True,
MV-00000004,control,A,baseline,0,0,B-02,S102.svg,cherry-picked-time,misleading,,,44,yes,61,,,,3207,,,,,,35838,True,False,False,
MV-00000004,control,A,baseline,1,1,B-04,S104.svg,area-distortion,misleading,,,66,no,46,,,,10102,,,,,,39483,False,False,True,
MV-00000004,control,A,baseline,2,2,B-03,S103.svg,hidden-uncertainty,accurate,,,78,no,69,,,,14588,,,,,,13013,True,False,False,
MV-00000004,control,A,baseline,3,3,B-01,S101.svg,truncated-axis,accurate,,,82,no,73,,,,13657,,,,,,16850,True,False,False,
MV-00000004,control,A,main,0,4,CP-01,S006.svg,cherry-picked-time,misleading,ai-assisted,,79,no,74,65,no,67,10921,17528,,,,,31954,False,False,True,-14
MV-00000004,control,A,main,1,5,CP-02,S008.svg,cherry-picked-time,misleading,none,,77,yes,55,69,yes,68,4419,7995,,,,,32591,True,False,False,-8
MV-00000004,control,A,main,2,6,MT-01,S022.svg,misleading-title,misleading,ai-assisted,,69,yes,82,59,yes,41,9209,12098,,,,,35884,True,False,False,-10
MV-00000004,control,A,main,3,7,AD-02,S016.svg,area-distortion,misleading,none,,60,yes,53,52,yes,61,8813,8581,,,,,36846,True,False,False,-8
MV-00000004,control,A,main,4,8,MT-02,S024.svg,misleading-title,misleading,none,,78,unsure,57,78,unsure,73,12106,19533,,,,,14260,False,False,True,0
MV-00000004,control,A,main,5,9,TA-02,S003.svg,truncated-axis,accurate,none,,60,no,66,64,no,88,11004,7937,,,,,30629,True,False,False,4
MV-00000004,control,A,main,6,10,HU-02,S011.svg,hidden-uncertainty,accurate,none,,85,no,71,85,no,45,10342,8820,,,,,15261,True,False,False,0
MV-00000004,control,A,main,7,11,CE-01,S017.svg,color-emphasis,accurate,ai-assisted,,80,no,59,84,no,63,13878,11753,,,,,26136,True,False,False,4
MV-00000004,control,A,main,8,12,AD-01,S014.svg,area-distortion,misleading,ai-assisted,,73,yes,87,63,yes,62,12017,15515,,,,,22868,True,False,False,-10
MV-00000004,control,A,main,9,13,CE-02,S019.svg,color-emphasis,accurate,none,,72,no,54,77,no,52,4976,9169,,,,,11917,True,False,False,5
MV-00000004,control,A,main,10,14,HU-01,S009.svg,hidden-uncertainty,accurate,ai-assisted,,89,yes,84,90,yes,53,6033,16101,,,,,23866,False,True,False,1
MV-00000004,control,A,main,11,15,TA-01,S001.svg,truncated-axis,accurate,ai-assisted,,72,no,88,76,no,58,11595,5647,,,,,35283,True,False,False,4
MV-00000004,control,A,transfer,0,16,T-01,S201.svg,color-emphasis,accurate,,near,67,no,63,,,,5939,,,,,,17904,True,False,False,
MV-00000004,control,A,transfer,1,17,T-02,S202.svg,misleading-title,misleading,,near,40,unsure,48,,,,7494,,,,,,9491,False,False,True,
MV-00000004,control,A,transfer,2,18,T-06,S206.svg,pie-3d,accurate,,far,58,no,84,,,,5068,,,,,,28901,True,False,False,
MV-00000004,control,A,transfer,3,19,T-04,S204.svg,cherry-picked-time,accurate,,near,86,no,40,,,,12405,,,,,,17317,True,False,False,
MV-00000004,control,A,transfer,4,20,T-05,S205.svg,dual-axis,misleading,,far,70,yes,61,,,,6020,,,,,,39637,True,False,False,
MV-00000004,control,A,transfer,5,21,T-03,S203.svg,truncated-axis,misleading,,near,43,yes,70,,,,4869,,,,,,34939,True,False,False,
MV-00000005,egvv,B,baseline,0,0,B-01,S101.svg,truncated-axis,accurate,,,61,unsure,53,,,,13248,,,,,,14914,False,False,False,
MV-00000005,egvv,B,baseline,1,1,B-03,S103.svg,hidden-uncertainty,accurate,,,71,no,50,,,,6929,,,,,,13695,True,False,False,
MV-00000005,egvv,B,baseline,2,2,B-02,S102.svg,cherry-picked-time,misleading,,,75,yes,40,,,,9693,,,,,,22762,True,False,False,
MV-00000005,egvv,B,baseline,3,3,B-04,S104.svg,area-distortion,misleading,,,84,yes,58,,,,3534,,,,,,15585,True,False,False,
MV-00000005,egvv,B,main,0,4,HU-02,S012.svg,hidden-uncertainty,misleading,ai-assisted,,58,unsure,84,41,yes,93,10438,7824,5784,3083,5226,5240,28481,True,False,False,-17
MV-00000005,egvv,B,main,1,5,AD-02,S015.svg,area-distortion,accurate,ai-assisted,,67,no,74,66,no,67,6683,17543,2582,2292,2244,2679,33972,True,False,False,-1
MV-00000005,egvv,B,main,2,6,CE-01,S017.svg,color-emphasis,accurate,none,,74,no,76,83,no,57,7728,11679,4820,3245,4866,3648,38889,True,False,False,9
MV-00000005,egvv,B,main,3,7,CP-02,S007.svg,cherry-picked-time,accurate,ai-assisted,,72,no,71,69,no,88,10172,4653,5643,3769,5008,3320,27782,True,False,False,-3
MV-00000005,egvv,B,main,4,8,AD-01,S014.svg,area-distortion,misleading,none,,56,yes,54,15,yes,86,14047,13619,5894,2084,5132,4753,34916,True,False,False,-41
MV-00000005,egvv,B,main,5,9,TA-02,S004.svg,truncated-axis,misleading,ai-assisted,,57,yes,88,27,yes,83,5870,14674,3811,5752,3139,2743,27180,True,False,False,-30
MV-00000005,egvv,B,main,6,10,MT-02,S023.svg,misleading-title,accurate,ai-assisted,,82,no,71,92,no,72,4494,10690,3365,3315,4744,2428,36106,True,False,False,10
MV-00000005,egvv,B,main,7,11,HU-01,S009.svg,hidden-uncertainty,accurate,none,,65,no,84,69,no,92,11117,19486,3640,5332,5115,4253,9202,True,False,False,4
MV-00000005,egvv,B,main,8,12,CE-02,S020.svg,color-emphasis,misleading,ai-assisted,,69,yes,56,51,yes,75,8296,18170,4107,5378,2004,4693,36487,True,False,False,-18
MV-00000005,egvv,B,main,9,13,CP-01,S006.svg,cherry-picked-time,misleading,none,,74,yes,43,43,yes,73,6073,14201,5098,4041,4561,3810,32903,True,False,False,-31
MV-00000005,egvv,B,main,10,14,TA-01,S001.svg,truncated-axis,accurate,none,,58,no,75,62,no,78,5146,18431,4860,3985,2497,2118,39888,True,False,False,4
MV-00000005,egvv,B,main,11,15,MT-01,S022.svg,misleading-title,misleading,none,,80,unsure,55,60,yes,69,14629,13024,2056,4262,3671,2381,15362,True,False,False,-20
MV-00000005,egvv,B,transfer,0,16,T-06,S206.svg,pie-3d,accurate,,far,62,no,47,,,,13612,,,,,,35267,True,False,False,
MV-00000005,egvv,B,transfer,1,17,T-01,S201.svg,color-emphasis,accurate,,near,64,no,85,,,,7781,,,,,,24674,True,False,False,
MV-00000005,egvv,B,transfer,2,18,T-02,S202.svg,misleading-title,misleading,,near,85,yes,70,,,,10736,,,,,,15986,True,False,False,
MV-00000005,egvv,B,transfer,3,19,T-04,S204.svg,cherry-picked-time,accurate,,near,84,no,64,,,,6122,,,,,,38207,True,False,False,
MV-00000005,egvv,B,transfer,4,20,T-05,S205.svg,dual-axis,misleading,,far,78,yes,48,,,,4143,,,,,,17052,True,False,False,
MV-00000005,egvv,B,transfer,5,21,T-03,S203.svg,truncated-axis,misleading,,near,66,yes,90,,,,11318,,,,,,16754,True,False,False,
MV-00000006,control,C,baseline,0,0,B-03,S103.svg,hidden-uncertainty,accurate,,,86,yes,48,,,,11229,,,,,,39632,False,True,False,
MV-00000006,control,C,baseline,1,1,B-01,S101.svg,truncated-axis,accurate,,,76,unsure,68,,,,4633,,,,,,25234,False,False,False,
MV-00000006,control,C,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,69,yes,49,,,,9717,,,,,,36538,True,False,False,
MV-00000006,control,C,baseline,3,3,B-02,S102.svg,cherry-picked-time,misleading,,,81,no,44,,,,10692,,,,,,33609,False,False,True,
MV-00000006,control,C,main,0,4,TA-01,S002.svg,truncated-axis,misleading,ai-assisted,,56,yes,84,54,yes,61,9512,17964,,,,,30097,True,False,False,-2
MV-00000006,control,C,main,1,5,AD-02,S015.svg,area-distortion,accurate,none,,89,no,60,94,no,88,13269,11994,,,,,36586,True,False,False,5
MV-00000006,control,C,main,2,6,MT-01,S021.svg,misleading-title,accurate,ai-assisted,,89,no,44,94,no,83,6846,19088,,,,,17416,True,False,False,5
MV-00000006,control,C,main,3,7,HU-01,S010.svg,hidden-uncertainty,misleading,ai-assisted,,54,unsure,67,51,unsure,68,4612,6725,,,,,30741,False,False,True,-3
MV-00000006,control,C,main,4,8,TA-02,S004.svg,truncated-axis,misleading,none,,59,no,42,58,no,58,8314,9873,,,,,20282,False,False,True,-1
MV-00000006,control,C,main,5,9,CP-01,S005.svg,cherry-picked-time,accurate,ai-assisted,,82,no,73,86,no,83,9751,16984,,,,,13900,True,False,False,4
MV-00000006,control,C,main,6,10,CP-02,S007.svg,cherry-picked-time,accurate,none,,65,no,79,69,no,83,9267,7945,,,,,24307,True,False,False,4
MV-00000006,control,C,main,7,11,AD-01,S013.svg,area-distortion,accurate,ai-assisted,,64,no,80,67,no,56,7161,14925,,,,,8307,True,False,False,3
MV-00000006,control,C,main,8,12,CE-02,S020.svg,color-emphasis,misleading,none,,69,no,83,64,no,44,11955,11237,,,,,38973,False,False,True,-5
MV-00000006,control,C,main,9,13,CE-01,S018.svg,color-emphasis,misleading,ai-assisted,,62,no,59,49,no,84,13468,8097,,,,,22969,False,False,True,-13
MV-00000006,control,C,main,10,14,MT-02,S023.svg,misleading-title,accurate,none,,74,no,64,74,no,55,10916,10248,,,,,26740,True,False,False,0
MV-00000006,control,C,main,11,15,HU-02,S012.svg,hidden-uncertainty,misleading,none,,62,yes,84,62,yes,82,7837,10484,,,,,16994,True,False,False,0
MV-00000006,control,C,transfer,0,16,T-06,S206.svg,pie-3d,accurate,,far,55,no,83,,,,3803,,,,,,37839,True,False,False,
MV-00000006,control,C,transfer,1,17,T-01,S201.svg,color-emphasis,accurate,,near,86,unsure,58,,,,6770,,,,,,27892,False,False,False,
MV-00000006,control,C,transfer,2,18,T-02,S202.svg,misleading-title,misleading,,near,62,yes,52,,,,13172,,,,,,16212,True,False,False,
MV-00000006,control,C,transfer,3,19,T-05,S205.svg,dual-axis,misleading,,far,83,unsure,89,,,,13800,,,,,,30310,False,False,True,
MV-00000006,control,C,transfer,4,20,T-04,S204.svg,cherry-picked-time,accurate,,near,63,no,80,,,,13589,,,,,,9291,True,False,False,
MV-00000006,control,C,transfer,5,21,T-03,S203.svg,truncated-axis,misleading,,near,59,unsure,42,,,,12495,,,,,,19955,False,False,True,
MV-00000007,egvv,D,baseline,0,0,B-01,S101.svg,truncated-axis,accurate,,,80,yes,75,,,,8992,,,,,,10959,False,True,False,
MV-00000007,egvv,D,baseline,1,1,B-02,S102.svg,cherry-picked-time,misleading,,,65,yes,74,,,,5024,,,,,,22902,True,False,False,
MV-00000007,egvv,D,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,63,unsure,83,,,,7295,,,,,,27154,False,False,True,
MV-00000007,egvv,D,baseline,3,3,B-03,S103.svg,hidden-uncertainty,accurate,,,79,unsure,63,,,,4775,,,,,,30113,False,False,False,
MV-00000007,egvv,D,main,0,4,TA-01,S002.svg,truncated-axis,misleading,none,,54,yes,79,29,yes,89,12198,7626,4652,2258,4602,5374,23213,True,False,False,-25
MV-00000007,egvv,D,main,1,5,AD-02,S016.svg,area-distortion,misleading,ai-assisted,,84,yes,66,65,yes,52,4911,19503,2152,3246,4017,2475,11184,True,False,False,-19
MV-00000007,egvv,D,main,2,6,CE-02,S019.svg,color-emphasis,accurate,ai-assisted,,70,unsure,48,79,no,73,9367,14985,5888,5043,4852,5874,25701,True,False,False,9
MV-00000007,egvv,D,main,3,7,TA-02,S003.svg,truncated-axis,accurate,ai-assisted,,81,no,86,89,no,91,5531,5622,5414,4004,4521,3671,38770,True,False,False,8
MV-00000007,egvv,D,main,4,8,CE-01,S018.svg,color-emphasis,misleading,none,,57,yes,63,28,yes,78,6559,19573,2967,5503,3485,2406,30468,True,False,False,-29
MV-00000007,egvv,D,main,5,9,MT-02,S024.svg,misleading-title,misleading,ai-assisted,,63,yes,81,47,yes,75,8876,8520,2777,5965,2500,5887,35788,True,False,False,-16
MV-00000007,egvv,D,main,6,10,HU-01,S010.svg,hidden-uncertainty,misleading,none,,69,yes,53,,,,13513,14477,4445,5977,2087,2207,33781,True,False,False,
MV-00000007,egvv,D,main,7,11,HU-02,S011.svg,hidden-uncertainty,accurate,ai-assisted,,76,no,48,,,,12250,7362,2281,5398,5134,4270,14788,True,False,False,
MV-00000007,egvv,D,main,8,12,MT-01,S021.svg,misleading-title,accurate,none,,68,unsure,54,,,,8383,16687,2604,5230,5688,4441,8092,False,False,False,
MV-00000007,egvv,D,main,9,13,CP-02,S008.svg,cherry-picked-time,misleading,ai-assisted,,57,no,49,,,,5129,12850,3026,5270,2714,2450,29661,False,False,True,
MV-00000007,egvv,D,main,10,14,CP-01,S005.svg,cherry-picked-time,accurate,none,,56,no,62,,,,6898,13647,3326,2064,2713,3086,9717,True,False,False,
MV-00000007,egvv,D,main,11,15,AD-01,S013.svg,area-distortion,accurate,none,,63,no,73,,,,4862,16216,2260,3950,3836,5186,19863,True,False,False,
MV-00000007,egvv,D,transfer,0,16,T-02,S202.svg,misleading-title,misleading,,near,72,yes,68,,,,11254,,,,,,15259,True,False,False,
MV-00000007,egvv,D,transfer,1,17,T-03,S203.svg,truncated-axis,misleading,,near,79,yes,90,,,,13795,,,,,,25086,True,False,False,
MV-00000007,egvv,D,transfer,2,18,T-05,S205.svg,dual-axis,misleading,,far,59,yes,41,,,,3996,,,,,,23695,True,False,False,
